Log file open, 03/29/15 10:24:45
LogInit:Display: Running engine for game: MyProject
LogInit: Version: 4.7.3-2479750+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Mar 15 2015 23:20:45
LogInit: Compiled with Visual C++: 18.00.21005.01
LogInit: Build Configuration: Development
LogInit: Branch Name: ++depot+UE4-Releases+4.7
LogInit: Command line:  
LogInit: Base directory: C:/Program Files/Epic Games/4.7/Engine/Binaries/Win64/
LogInit: Rocket: 1
[2015.03.29-14.24.45:107][  0]LogTaskGraph: Started task graph with 3 named threads and 6 total threads.
[2015.03.29-14.24.45:169][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2015.03.29-14.24.45:202][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2015.03.29-14.24.45:217][  0]LogInit: Object subsystem initialized
[2015.03.29-14.24.45:227][  0]LogConsoleResponse:Warning: Skipping Unknown console variable: 'TranslucentSortAxis = (X=0.000000,Y=-1.000000,Z=0.000000)'
[2015.03.29-14.24.45:227][  0]LogConsoleResponse:Warning:   Found in ini file 'C:/Users/enfin_000/Documents/Unreal Projects/MyProject/Saved/Config/Windows/Engine.ini', in section '[/Script/Engine.RendererSettings]'
[2015.03.29-14.24.45:227][  0]LogConsoleResponse:Warning: Skipping Unknown console variable: 'UIScaleRule = ShortestSide'
[2015.03.29-14.24.45:227][  0]LogConsoleResponse:Warning:   Found in ini file 'C:/Users/enfin_000/Documents/Unreal Projects/MyProject/Saved/Config/Windows/Engine.ini', in section '[/Script/Engine.RendererSettings]'
[2015.03.29-14.24.45:227][  0]LogConsoleResponse:Warning: Skipping Unknown console variable: 'UIScaleCurve = (EditorCurveData=(Keys=),ExternalCurve=None)'
[2015.03.29-14.24.45:227][  0]LogConsoleResponse:Warning:   Found in ini file 'C:/Users/enfin_000/Documents/Unreal Projects/MyProject/Saved/Config/Windows/Engine.ini', in section '[/Script/Engine.RendererSettings]'
[2015.03.29-14.24.45:232][  0]LogInit: Selected Device Profile: [Windows]
[2015.03.29-14.24.45:232][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2015.03.29-14.24.45:243][  0]LogInit: Computer: THADEAUS
[2015.03.29-14.24.45:243][  0]LogInit: User: enfin000
[2015.03.29-14.24.45:243][  0]LogInit: CPU Page size=4096, Cores=4
[2015.03.29-14.24.45:243][  0]LogInit: High frequency timer resolution =3.320335 MHz
[2015.03.29-14.24.45:244][  0]LogMemory: Memory total: Physical=7.9GB (8GB approx) Virtual=131072.0GB
[2015.03.29-14.24.45:244][  0]LogMemory: Platform Memory Stats for Windows
[2015.03.29-14.24.45:244][  0]LogMemory: Process Physical Memory: 46.12 MB used, 46.12 MB peak
[2015.03.29-14.24.45:244][  0]LogMemory: Process Virtual Memory: 22.48 MB used, 22.48 MB peak
[2015.03.29-14.24.45:244][  0]LogMemory: Physical Memory: 3610.78 MB used, 8086.00 MB total
[2015.03.29-14.24.45:244][  0]LogMemory: Virtual Memory: 288.62 MB used, 134217728.00 MB total
[2015.03.29-14.24.45:264][  0]LogD3D11RHI: Found D3D11 adapter 0: AMD Radeon HD 7800 Series (Feature Level 11_0)
[2015.03.29-14.24.45:264][  0]LogD3D11RHI: Adapter has 2030MB of dedicated video memory, 0MB of dedicated system memory, and 3840MB of shared system memory, 3 output[s]
[2015.03.29-14.24.45:337][  0]LogD3D11RHI: Found D3D11 adapter 1: Intel(R) HD Graphics 4000 (Feature Level 11_0)
[2015.03.29-14.24.45:337][  0]LogD3D11RHI: Adapter has 32MB of dedicated video memory, 0MB of dedicated system memory, and 1760MB of shared system memory, 0 output[s]
